shipping_is_express,countries_shipped_to,price,units_sold,origin_country,theme,uses_ad_boosts,sales
NO,34,16.0,100,CN,summer,NO,1600.0
NO,41,8.0,20000,CN,summer,YES,160000.0
NO,36,8.0,100,CN,summer,NO,800.0
NO,41,8.0,5000,CN,summer,YES,40000.0
NO,35,2.72,100,CN,summer,YES,272.0
NO,40,3.92,10,CN,summer,NO,39.2
NO,31,7.0,50000,CN,summer,NO,350000.0
NO,139,12.0,1000,CN,summer,NO,12000.0
NO,36,11.0,100,CN,summer,YES,1100.0
NO,33,5.78,5000,CN,summer,NO,28900.0
NO,25,5.79,1000,CN,summer,NO,5790.0
NO,40,6.0,100,CN,summer,YES,600.0
NO,38,1.91,1000,CN,summer,YES,1910.0
NO,43,5.79,1000,CN,summer,NO,5790.0
NO,36,2.0,20000,CN,summer,YES,40000.0
NO,41,11.0,1000,CN,summer,NO,11000.0
NO,34,11.0,10000,CN,summer,NO,110000.0
NO,41,5.0,100000,CN,summer,YES,500000.0
NO,43,9.0,20000,CN,summer,NO,180000.0
NO,41,7.0,1000,CN,summer,NO,7000.0
NO,69,11.0,5000,CN,summer,NO,55000.0
NO,41,5.0,20000,CN,summer,NO,100000.0
NO,51,11.0,1000,CN,summer,NO,11000.0
NO,138,7.0,5000,CN,summer,YES,35000.0
NO,43,5.71,1000,CN,summer,NO,5710.0
NO,41,9.0,1000,CN,summer,NO,9000.0
NO,60,9.0,1000,US,summer,NO,9000.0
NO,43,5.65,20000,CN,summer,NO,113000.0
NO,41,1.74,100,CN,summer,YES,174.0
NO,54,5.65,1000,CN,summer,NO,5650.0
NO,36,14.0,100,CN,summer,NO,1400.0
NO,38,5.65,1000,CN,summer,YES,5650.0
NO,46,8.0,1000,CN,summer,NO,8000.0
NO,22,2.66,5000,CN,summer,NO,13300.0
NO,45,9.0,10000,CN,summer,NO,90000.0
NO,31,11.0,1000,CN,summer,NO,11000.0
NO,40,8.0,100,CN,summer,YES,800.0
NO,43,14.0,5000,CN,summer,YES,70000.0
